Token	UniLemma	AoA	AdjustedDiversity	Diversity	LogFreq	LexicalClass	NChars	Concreteness	MLU
a	a	26.493790222609	93.8262788681832	4781	3.10892312073637	function_words	1	1.46	7.99627128772035
a	a lot	28.2828143853262	93.8262788681832	4781	3.10892312073637	function_words	1	1.46	7.99627128772035
about	about	31.7537216707999	249.851341521377	2975	0.910759949488298	function_words	5	1.77	8.54691284922216
above	above	31.996012013842	51.4978155836108	212	-3.4939695684217	function_words	5	3.33	14.625550660793
after	after	28.6666498673792	362.129752345363	1482	-0.786213096209842	other	5	2.12	10.2917156286722
airplane	airplane	19.7297833506531	-41.7555037042144	496	-1.87140236454581	nouns	8	4.96	7.30695652173913
all	all	25.9300732980303	362.093638641662	3501	1.29094911651729	function_words	3	2.27	8.87511961722488
all	all gone	18.5061439268886	362.093638641662	3501	1.29094911651729	adjectives	3	2.27	8.87511961722488
alligator	alligator	24.8267585911599	66.6468448818345	289	-3.06671710612863	nouns	9	4.96	6.75
am	am	28.3922066030469	39.6932687955497	902	-1.18874479065688	function_words	2	1.96	6.73857644991213
and	and	26.6271234762757	372.486184203368	4826	2.73762991915	function_words	3	1.52	11.0802979773918
animal	animal	23.8011674693858	128.302999866215	714	-1.75111040158666	nouns	6	4.61	9.36237471087124
ankle	ankle	29.0034846160477	18.7864941545756	52	-5.51772220424095	nouns	5	4.81	6.73333333333333
another	another	27.5648207502321	35.7218938131471	1727	-0.0891078367450563	function_words	7	2.69	6.72553035844916
ant	ant	24.2257472229317	47.8090881216418	159	-3.97015969552494	nouns	3	4.86	6.21985815602837
any	any	28.9054625472239	206.15509811936	2045	0.0662752320881937	function_words	3	1.72	9.45716432865732
apple	apple	17.7821028574508	-134.053493843576	646	-1.33770975970676	nouns	5	5	6.48138704742478
applesauce	applesauce	24.7577975548087	32.0589592405588	176	-3.63571585716512	nouns	10	4.96	4.74619289340102
are	are	28.8463834048316	-56.261329799383	3688	1.88194087965253	function_words	3	1.96	6.76444571265516
arm	arm	21.4050179349146	59.1788671244414	499	-2.15042637425448	nouns	3	4.96	7.57816091954023
around	around	29.0111377811302	311.778640270666	1854	-0.253996282462533	function_words	6	1.96	9.4247757073844
asleep	asleep	24.1638529214999	100.763254503086	358	-2.87391427186709	adjectives	6	3.71	7.74170616113744
at	at	27.7919786915116	247.452545482461	3525	1.42095017737591	function_words	2	2.07	8.7045439855213
aunt	aunt	25.1724046143809	138.36527486565	337	-3.21513711124691	other	4	4.17	7.5
awake	awake	25.4521194966572	42.3754903703673	156	-3.94218584348253	adjectives	5	3.32	6.80689655172414
away	away	26.4395989187419	58.3826594094562	1524	-0.342514534855023	function_words	4	2.23	8.52214891611687
baa	baa baa	15.9901310012007	-177.812914154306	89	-2.82534981585797	other	3	3.99344236760125	2.84424379232506
baby	baby	15.2527500243513	-536.470306110352	2149	0.874474043835948	other	4	5	6.65900083728719
babysitter	babysitter	30.6341572807758	45.5569726197216	92	-5.09027818941401	other	10	4.57	8.26086956521739
babysitter's	babysitter's name	24.4912504352366	45.5569726197216	92	-5.09027818941401	other	12	3.99344236760125	8.26086956521739
back	back (location)	25.6171537518064	-44.0553655998224	2428	0.678382422616681	function_words	4	4.33	8.41269949066214
backyard	yard	26.2913344388513	94.8747017283616	203	-4.00626470016705	nouns	8	4.82	11.4117647058824
bad	bad	24.4276963986028	19.8170477475846	1036	-0.93855382079186	adjectives	3	1.68	7.31303455354088
ball	ball	11.6410937631458	-416.442525588934	956	-0.454283645225545	nouns	4	5	5.84295952782462
balloon	balloon	16.8372411365929	-125.404405092059	505	-1.64652119333306	nouns	7	4.92	8.28888888888889
banana	banana	15.7031641169036	21.2172702547679	422	-2.27773741616252	nouns	6	5	5.73629242819843
basement	basement	32.6024596487717	36.4910603169101	144	-4.01364480746468	nouns	8	4.89	9.04444444444444
basket	basket	24.7839402029377	65.9186502796708	459	-2.30419398569935	nouns	6	5	8
bat	bat	25.2841238847734	49.3873364385893	260	-3.13817607011078	nouns	3	5	6.94135802469136
bath	bath	17.6561663648038	-128.83955874056	710	-1.23000624903831	other	4	4.85	8.49175824175824
bathroom	bathroom	23.0113076489698	69.3136080988702	211	-3.65622939699822	nouns	8	4.52	9.31088082901554
bathtub	bathtub	21.6196880956656	63.607381382227	163	-4.11489854116985	nouns	7	4.92	8.25409836065574
be	be	29.7652329185189	396.769140731984	3397	1.16267231013695	function_words	2	1.85	9.14419013347839
beach	beach	26.1241715442965	54.6782847392504	429	-2.37070048314073	other	5	4.79	8.75931232091691
beads	beads	28.7608778504267	53.4291821541229	222	-3.42998185974642	nouns	5	3.99344236760125	6.13223140495868
beans	beans	24.062412790842	79.5219482369037	420	-2.49892465775596	nouns	5	3.99344236760125	6.49511400651466
bear	bear	18.5927391275815	-337.237645685618	912	-0.610227669064209	nouns	4	4.88	7.94087213599409
because	because	29.6012765542288	496.282756849788	2379	0.111216985250123	function_words	7	1.22	12.1857262603281
bed	bed	20.2208143189425	-180.922014050537	1039	-0.64890652362932	nouns	3	5	8.51856594110115
bedroom	bedroom	24.7136280937142	47.3372501967315	106	-4.79178520085801	nouns	7	4.9	8.14516129032258
